text,label
Government launches new education policy,0
India successfully launches satellite,0
Supreme Court announces new guidelines,0
WHO approves new vaccine,0
Indian Railways launches new train,0
NASA releases Mars images,0
Finance Minister presents budget,0
New hospital opened in city,0
Election Commission announces dates,0
Scientists discover new species,0
Aliens landed in Delhi,1
Drinking salt water cures cancer,1
Earth will end next week,1
NASA confirms flat earth,1
Vaccines contain tracking chips,1
Magic stone cures all diseases,1
Humans can live without food,1
Talking dog becomes mayor,1
Invisible humans spotted,1
Moon is made of cheese,1
