text,label
Government announces new scholarship program for students,0
A new hospital was opened in the city providing free care,0
The Indian cricket team won the World Cup finals,0
Schools will reopen on Monday after winter holiday,0
A solar power plant has been built to support rural villages,0
Microsoft releases new AI-powered software update,0
New bridge connecting metro stations inaugurated by officials,0
NASA confirmed the world will end tomorrow afternoon,1
A scientist discovered a medicine that makes humans live forever,1
Aliens have secretly replaced presidents around the world,1
Facebook will shut down permanently starting next week,1
Newborn babies can now speak fluently from birth,1
A man travelled back in time using a magic phone,1
siddu have a sports car,0
everyone have a crore amount,1
